"Sed_ID";"2000";"500";"250";"63";"0";"sedID";"Sediment";"Texture";"D50(um)";"Mean.fw.phi";"Mean.fw.um";"Sand";"mud";"sed_Id";"Sed_class1";"Sed_class"
3850;0;0.19;1.48;96.01;2.32;"X3850";"Very Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";124.914;3.001;56.333;97.677;2.323;"3850";"Very Fine Sand";"Very Fine Sand"
3851;0;1.07;5.91;92.79;0.23;"X3851";"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";131.954;2.922;63.303;99.771;0.229;"3851";"Fine Sand";"Fine Sand"
3854;0;0.23;3.96;90.74;5.07;"X3854";"Very Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";124.664;3.004;55.022;94.932;5.068;"3854";"Very Fine Sand";"Very Fine Sand"
3858;0;0.76;5.74;90.15;3.36;"X3858";"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";128.55;2.96;58.974;96.645;3.355;"3858";"Fine Sand";"Fine Sand"
3859;0;1.05;6.74;91.84;0.36;"X3859";"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";132.695;2.914;63.914;99.638;0.362;"3859";"Fine Sand";"Fine Sand"
3862;0;0.03;8.01;81.36;10.6;"X3862";"Very Fine Sand,Poorly Sorted,Fine Skewed,Very Leptokurtic";"Muddy Sand";122.812;3.025;51.065;89.401;10.599;"3862";"Very Fine Sand";"Very Fine Sand"
3865;0;0.47;7.61;81.45;10.47;"X3865";"Very Fine Sand,Poorly Sorted,Fine Skewed,Very Leptokurtic";"Muddy Sand";122.986;3.023;51.255;89.528;10.472;"3865";"Very Fine Sand";"Very Fine Sand"
3866;0;0.48;4.88;94.14;0.5;"X3866";"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";130.04;2.943;61.477;99.496;0.504;"3866";"Fine Sand";"Fine Sand"
3867;0;0.47;7.92;86.84;4.77;"X3867";"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";129.151;2.953;58.837;95.227;4.773;"3867";"Fine Sand";"Fine Sand"
3868;0;1.75;9.52;61.34;27.39;"X3868";"Very Fine Sand,Very Poorly Sorted,Very Fine Skewed,Leptokurtic";"Muddy Sand";104.717;3.966;7.094;72.613;27.387;"3868";"Very Fine Sand";"Very Fine Sand"
3871;0;0.06;0.27;98.36;1.32;"X3871";"Very Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";124.632;3.004;56.475;98.684;1.316;"3871";"Very Fine Sand";"Very Fine Sand"
3876;0;0.65;0.93;88.01;10.41;"X3876";"Very Fine Sand,Poorly Sorted,Fine Skewed,Very Leptokurtic";"Muddy Sand";117.112;3.094;47.05;89.587;10.413;"3876";"Very Fine Sand";"Very Fine Sand"
