"Point";"Day";"Radius";"Class_1";"Class_2";"Class_3";"c_water";"c_mcrph";"c_shlls";"c_rocks";"c_chnnl";"c_uca";"uc_dnst";"greenss";"mangrov";"obs";"obs2";"Island";"site";"Sed_ID";"X2000";"X500";"X250";"X63";"X0";"Sedimnt";"Texture";"D50_um_";"Mn_fw_p";"Mn_fw_m";"Sand";"mud";"Sd_clss";"Sd_cls1";"Clss_22";"Clss_11";"Class_22";"Clss_33";"covr_vr";"cvr_vr1";"cvr_vrA";"cvr_sd_f";"cvr_sd_g";"WB";"WD";"rocks";"macro";"shells";"sedmnt0";"bsed";"bsed1";"uca"
"131";"18/02/2020";"25";"wet";"sand";NA;60;0;0;0;0;"0";NA;"N";"N";"fina camada de mud";NA;"Urok";"banco_pre_roost";"131";0;0.64;3.15;94.74;1.47;"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";127.628;2.97;58.973;98.526;1.474;"Fine Sand";"Fine Sand";"sand";"wet";"sand";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment_sand";"bare_sediment_Fine Sand";"flooded";"wet";"other";"other";"other";"bare_sediment";"bare_sediment";"bare_sediment";"other"
"132";"18/02/2020";"5";"dry";"sandy_mud";"uca";0;0;0;0;0;"100";"H";"N";"N";"uca clara";NA;"Urok";"banco_pre_roost";"132";0;0.46;3.11;90.78;5.65;"Very Fine Sand,Moderately Sorted,Fine Skewed,Mesokurtic";"Sand";123.535;3.017;53.874;94.351;5.649;"Very Fine Sand";"Very Fine Sand";"sandy_mud";"dry";"sandy_mud";"uca";"uca";"uca";"uca";"uca_sandy_mud";"uca_Very Fine Sand";"dry";"dry";"other";"other";"other";"uca";"other";"other";"uca"
"133";"18/02/2020";"5";"dry";"sandy_mud";"uca";0;0;0;0;0;"100";"H";"N";"N";NA;NA;"Urok";"banco_pre_roost";"132";0;0.46;3.11;90.78;5.65;"Very Fine Sand,Moderately Sorted,Fine Skewed,Mesokurtic";"Sand";123.535;3.017;53.874;94.351;5.649;"Very Fine Sand";"Very Fine Sand";"sandy_mud";"dry";"sandy_mud";"uca";"uca";"uca";"uca";"uca_sandy_mud";"uca_Very Fine Sand";"dry";"dry";"other";"other";"other";"uca";"other";"other";"uca"
"134";"18/02/2020";"40";"wet";"sand";NA;60;0;0;0;0;"0";NA;"N";"N";NA;NA;"Urok";"banco_pre_roost";"131";0;0.64;3.15;94.74;1.47;"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";127.628;2.97;58.973;98.526;1.474;"Fine Sand";"Fine Sand";"sand";"wet";"sand";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment_sand";"bare_sediment_Fine Sand";"flooded";"wet";"other";"other";"other";"bare_sediment";"bare_sediment";"bare_sediment";"other"
"135";"18/02/2020";"30";"wet";"sand";NA;70;0;0;0;0;"0";NA;"N";"N";"fina camada de mud";NA;"Urok";"banco_pre_roost";"135";0;0.39;3.19;92.75;3.67;"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";125.416;2.995;56.218;96.333;3.667;"Fine Sand";"Fine Sand";"sand";"wet";"sand";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment_sand";"bare_sediment_Fine Sand";"flooded";"wet";"other";"other";"other";"bare_sediment";"bare_sediment";"bare_sediment";"other"
"136";"18/02/2020";"15";"dry";"mud";"uca";0;0;0;0;0;"100";"H";"N";"N";"uca escura";NA;"Urok";"banco_pre_roost";"136";0;0.7;2.7;88.07;8.53;"Very Fine Sand,Poorly Sorted,Fine Skewed,Very Leptokurtic";"Sand";120.556;3.052;50.356;91.469;8.531;"Very Fine Sand";"Very Fine Sand";"mud";"dry";"mud";"uca";"uca";"uca";"uca";"uca_mud";"uca_Very Fine Sand";"dry";"dry";"other";"other";"other";"uca";"other";"other";"uca"
"137";"18/02/2020";"20";"wet";"sand";NA;70;0;0;0;0;"0";NA;"N";"N";"fina camada de mud";NA;"Urok";"banco_pre_roost";"135";0;0.39;3.19;92.75;3.67;"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";125.416;2.995;56.218;96.333;3.667;"Fine Sand";"Fine Sand";"sand";"wet";"sand";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment_sand";"bare_sediment_Fine Sand";"flooded";"wet";"other";"other";"other";"bare_sediment";"bare_sediment";"bare_sediment";"other"
"138";"18/02/2020";"10";"dry";"mud";"uca";5;0;0;0;5;"100";"H";"N";"N";"uca escura";NA;"Urok";"banco_pre_roost";"138";0;0.07;4.76;87.14;8.03;"Very Fine Sand,Poorly Sorted,Fine Skewed,Very Leptokurtic";"Sand";122.367;3.031;51.942;91.974;8.026;"Very Fine Sand";"Very Fine Sand";"mud";"dry";"mud";"uca";"uca";"uca";"uca";"uca_mud";"uca_Very Fine Sand";"dry";"dry";"other";"other";"other";"uca";"other";"other";"uca"
"139";"18/02/2020";"20";"wet";"sand";NA;50;0;0;0;0;"0";NA;"N";"N";"tirei sedimento que não tinha mud";NA;"Urok";"banco_pre_roost";"139";0;0.44;3.17;94.21;2.19;"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";126.812;2.979;57.989;97.815;2.185;"Fine Sand";"Fine Sand";"sand";"wet";"sand";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment_sand";"bare_sediment_Fine Sand";"flooded";"wet";"other";"other";"other";"bare_sediment";"bare_sediment";"bare_sediment";"other"
"140";"18/02/2020";"5";"dry";"mud";"uca";5;0;0;0;0;"0";NA;"N";"N";NA;NA;"Urok";"banco_pre_roost";"138";0;0.07;4.76;87.14;8.03;"Very Fine Sand,Poorly Sorted,Fine Skewed,Very Leptokurtic";"Sand";122.367;3.031;51.942;91.974;8.026;"Very Fine Sand";"Very Fine Sand";"mud";"dry";"mud";"uca";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment_mud";"bare_sediment_Very Fine Sand";"dry";"dry";"other";"other";"other";"bare_sediment";"bare_sediment";"bare_sediment";"other"
